Leaf,Rows,Score,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Age,HeartAttack
4,2,0.0,0,1,0,0,1,0,0,0,0
40,2,0.5,0,1,0,0,1,1,1,0,0
164,6,0.0,1,1,0,0,1,1,1,1,0
330,3,0.4444444444444445,1,1,0,0,1,1,1,1,0
331,3,0.0,1,1,0,0,1,1,1,1,0
83,37,0.0,0,1,0,0,1,1,1,1,0
42,3,0.4444444444444445,0,1,0,0,1,1,1,0,0
172,2,0.0,0,1,0,0,1,1,1,0,0
173,3,0.0,0,1,0,0,1,1,1,0,0
87,11,0.0,0,1,0,0,1,1,1,0,0
22,4,0.0,0,1,0,0,1,1,0,0,0
46,6,0.0,1,1,0,0,1,1,0,0,0
47,2,0.5,1,1,0,0,1,1,0,0,0
96,4,0.0,1,1,0,0,0,1,0,1,0
97,2,0.5,1,1,0,0,0,1,0,1,0
98,3,0.0,0,1,0,0,0,1,1,1,0
792,10,0.0,1,1,0,0,0,1,1,1,0
3172,2,0.0,1,1,0,0,0,1,1,1,0
6346,3,0.4444444444444445,1,1,1,0,0,1,1,1,0
6347,4,0.0,1,1,1,0,0,1,1,1,0
1587,7,0.0,1,1,0,0,0,1,1,1,0
1588,3,0.4444444444444444,0,1,0,0,0,1,1,1,0
3178,4,0.0,0,1,0,0,0,1,1,1,1
3179,2,0.5,0,1,0,0,0,1,1,1,1
1590,3,0.0,0,1,0,0,0,1,1,1,0
1591,2,0.5,0,1,0,0,0,1,1,1,0
796,2,0.5,0,1,0,1,0,1,1,1,0
797,5,0.0,0,1,0,1,0,1,1,1,0
1596,5,0.0,0,1,1,0,1,1,1,1,0
6388,4,0.5,0,1,1,0,1,1,1,1,0
6389,2,0.0,0,1,1,0,1,1,1,1,0
3195,5,0.0,0,1,1,0,1,1,1,1,0
1598,3,0.4444444444444445,0,1,1,0,0,1,1,1,0
3198,8,0.0,0,1,1,0,0,1,1,1,0
3199,3,0.4444444444444445,0,1,1,0,0,1,1,1,0
800,3,0.0,0,1,1,0,0,1,1,1,0
6408,3,0.0,0,1,1,1,0,1,1,1,0
6409,3,0.4444444444444445,0,1,1,1,0,1,1,1,0
3205,14,0.0,0,1,1,0,0,1,1,1,0
6412,5,0.0,1,1,1,0,0,1,1,1,0
6413,3,0.4444444444444445,1,1,1,0,0,1,1,1,0
12828,2,0.5,1,1,1,0,0,1,1,1,0
12829,4,0.0,1,1,1,0,0,1,1,1,0
12830,6,0.0,0,1,1,0,1,1,1,1,0
12831,3,0.4444444444444445,0,1,1,0,1,1,1,1,0
401,3,0.0,0,1,1,0,0,1,1,1,0
402,4,0.0,0,1,1,1,0,1,1,1,0
1612,2,0.0,0,1,1,1,1,1,1,1,0
1613,2,0.5,0,1,1,1,1,1,1,1,0
807,3,0.0,0,1,1,1,0,1,1,1,0
202,2,0.0,1,1,1,0,0,1,1,1,0
406,2,0.5,1,1,1,0,1,1,1,1,0
1628,24,0.0,1,1,1,0,1,1,1,1,0
3258,2,0.5,1,1,1,0,1,1,1,1,0
3259,2,0.0,1,1,1,0,1,1,1,1,0
3260,2,0.0,1,1,1,0,1,1,1,1,0
3261,3,0.4444444444444445,1,1,1,0,1,1,1,1,0
1631,4,0.0,1,1,1,0,1,1,1,1,0
51,6,0.0,0,1,1,0,0,1,0,1,0
104,4,0.0,1,1,0,0,0,1,0,0,0
210,2,0.0,1,1,0,0,0,1,0,0,0
422,2,0.0,1,1,0,1,0,1,0,0,0
423,2,0.5,1,1,0,1,0,1,0,0,0
212,2,0.5,1,1,1,0,0,1,0,0,0
213,11,0.0,1,1,1,0,0,1,0,0,0
107,3,0.4444444444444445,1,1,0,0,0,1,0,0,0
432,2,0.0,1,1,0,0,1,1,1,1,0
433,2,0.0,1,1,0,0,1,1,1,1,0
1736,3,0.0,1,1,0,0,1,1,1,1,0
1737,4,0.0,1,1,0,0,1,1,1,1,0
869,7,0.0,1,1,0,0,1,1,1,1,0
435,21,0.0,1,1,0,0,1,1,1,1,0
109,3,0.4444444444444445,1,1,0,0,0,1,1,0,0
110,3,0.4444444444444445,1,1,0,0,0,1,1,0,0
222,50,0.0,1,1,1,0,0,1,1,0,0
446,2,0.5,1,1,1,0,0,1,1,1,0
447,2,0.0,1,1,1,0,0,1,1,1,0
28,9,0.0,0,1,0,0,0,1,1,0,0
116,2,0.0,0,1,0,0,0,1,1,1,0
234,2,0.0,0,1,0,1,0,1,1,1,0
235,3,0.4444444444444444,0,1,0,1,0,1,1,1,0
59,4,0.0,0,1,0,0,0,1,1,1,0
30,91,0.0,0,1,1,0,0,1,0,0,0
124,3,0.4444444444444445,0,1,1,0,0,1,1,0,0
125,3,0.0,0,1,1,0,0,1,1,0,0
63,18,0.0,0,1,1,0,0,1,0,0,0
