Leaf,Rows,Score,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,DiabetesPedigreeFunction,Age,HeartAttack,Outcome
8,28,64.77915343915343,0,0,1,1,0,0,0,0,1
9,29,18.580960591133003,0,0,1,1,0,0,0,0,1
10,23,13.62118577075098,0,0,1,1,0,0,0,0,0
11,25,18.578933333333335,0,0,1,1,0,0,0,0,0
12,16,34.527291666666656,0,0,1,1,0,0,0,0,1
52,33,13.559848484848485,0,0,1,1,0,1,0,0,1
53,24,47.20804347826087,0,0,1,1,0,1,0,0,1
108,16,21.475333333333328,0,0,1,1,0,1,1,0,1
109,17,14.639999999999993,0,0,1,1,0,1,1,0,1
55,25,52.233733333333326,0,0,1,1,0,1,1,0,1
56,16,72.63395833333333,0,0,1,1,1,0,0,0,1
228,18,11.799999999999997,0,0,1,1,1,1,0,0,1
458,23,14.625652173913043,0,0,1,1,1,1,0,0,1
459,24,22.751231884057965,0,0,1,1,1,1,0,0,1
115,18,15.989411764705888,0,0,1,1,1,1,0,0,1
232,15,45.7712380952381,0,0,1,1,0,0,0,1,1
233,15,39.853809523809524,0,0,1,1,0,0,0,1,1
117,29,74.93963054187192,0,0,1,1,0,0,0,0,1
472,26,13.686153846153848,0,0,1,1,1,1,1,0,1
946,23,37.18351778656126,0,0,1,1,1,1,1,1,1
1894,15,25.25571428571428,0,0,1,1,1,1,1,1,1
1895,15,7.177809523809523,0,0,1,1,1,1,1,1,1
237,25,31.317266666666665,0,0,1,1,0,1,1,0,1
119,23,43.611106719367584,0,0,1,1,0,0,1,0,1
15,16,196.17162499999998,0,0,1,1,0,0,0,0,1
